,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster City of London
Barking and Dagenham,14650,280,155,290,104,1855,110,250,653,412,1228,433,468,60,6554,126,119,1311,561,35,565,211,85,4829,5389,41,1218,89,4279,1292,235,6350
Barnet,144,36031,42,5908,91,14006,131,1787,4457,250,1866,1741,3965,2600,142,971,757,5864,2092,77,1295,210,208,601,338,383,2357,68,3461,585,567,24662
"Bexley, London",323,131,25876,161,4846,2391,510,177,175,10807,657,448,135,45,358,118,163,1432,555,77,1724,3089,191,846,142,91,4177,136,3656,241,599,12986
"Brent, London",56,6268,37,27338,84,8735,189,8195,678,221,953,4349,829,5199,55,2423,1723,3041,4568,167,1277,184,284,435,145,522,2061,101,2405,276,846,22519
Bromley,135,209,2962,199,41000,4145,4879,275,157,3023,971,1058,161,48,134,200,336,2309,1334,207,3966,5425,667,518,64,230,6175,887,4946,219,1297,22449
Camden,51,1918,47,1677,65,23151,98,718,415,216,1636,2133,793,367,45,442,555,5590,2371,83,1447,170,165,370,81,303,2507,49,4192,254,594,29719
Croydon,90,270,373,367,6457,3704,48412,483,193,714,791,1653,350,102,80,461,749,2202,1808,1229,7602,1921,4123,433,113,635,5387,6806,3109,197,5491,17385
Ealing,53,1268,37,6238,78,4956,164,34302,330,200,740,9360,296,2523,57,11650,10385,2180,4785,476,1137,143,437,374,93,1970,1868,114,2154,197,1161,19381
Enfield,344,6641,74,1140,91,6241,127,664,37198,260,2973,1012,10132,345,327,378,371,5534,1134,80,879,205,133,1006,693,134,1859,57,2758,2193,401,13690
Greenwich,328,317,5816,434,3329,3835,631,310,283,23759,1186,944,275,72,217,195,341,2386,1294,126,2728,5771,320,1656,223,170,5689,210,6884,437,904,17009
Hackney,273,1022,91,706,130,9760,129,592,1205,449,18889,1761,2585,119,201,196,417,10307,1994,83,1780,454,169,1680,489,196,3351,76,7259,1653,732,21861
Hammersmith and Fulham,20,401,42,1162,68,4674,150,2665,156,133,679,16192,153,173,36,1174,2642,2256,7644,319,1312,128,507,248,38,1147,1938,103,2734,115,2076,26202
Haringey,218,3439,62,1138,72,11983,142,776,4954,317,4511,1834,15155,299,124,372,461,9207,2291,77,1563,222,185,841,424,234,2582,72,3287,1404,594,21687
Harrow,62,5040,18,10364,51,4146,129,5024,433,130,489,1989,378,21485,40,6261,1498,1635,1311,113,645,89,124,237,91,355,1272,44,2182,162,355,11817
Havering,7110,219,415,151,156,2112,99,180,515,390,1168,365,331,45,31928,87,108,1615,409,20,493,135,66,3567,4882,55,1601,49,5416,1109,175,12294
Hillingdon,37,784,25,3052,95,2228,107,9560,207,109,257,2454,149,4350,50,45948,6251,963,1054,221,448,62,189,168,73,706,879,60,1123,111,348,7790
Hounslow,29,340,42,1155,81,2398,199,6732,135,101,343,4777,141,428,24,11954,31030,1135,2334,1658,945,84,342,220,53,7752,1191,165,1356,94,1110,10294
Islington,78,1235,51,621,103,13297,149,548,887,210,3933,1905,2012,179,148,277,488,16858,1993,85,1548,223,143,588,186,187,3090,62,4741,482,639,27343
Kensington and Chelsea,16,269,16,664,50,3281,127,778,120,87,522,3706,126,78,9,466,828,1616,10964,106,862,81,222,120,34,338,1280,50,3955,98,969,27520
Kingston upon Thames,23,121,44,202,99,1872,517,490,56,85,254,1549,58,51,17,752,1595,805,961,20982,1198,102,3088,94,39,3755,1318,1340,1444,32,2661,8867
Lambeth,83,540,227,612,1007,9995,2867,775,297,702,1934,3995,452,127,75,508,1214,5235,4996,792,20718,1503,2287,597,93,953,10682,856,5540,282,8639,41618
Lewisham,156,411,1293,475,6437,6021,2164,495,287,5360,1640,1587,347,88,106,246,409,3388,1878,203,5955,20625,651,1163,186,279,11735,512,6228,345,1958,22769
Merton,37,235,58,321,319,3530,2775,579,117,208,589,2600,181,65,35,437,927,1868,2258,3504,3634,378,16588,256,48,1264,2749,3929,2516,108,8798,16210
Newham,2851,659,319,913,343,5132,269,709,1066,1311,3051,1501,999,160,1487,300,469,3349,2250,166,1776,688,300,24781,3365,214,3110,125,11592,3243,864,18262
Redbridge,4611,627,116,492,186,4238,153,421,1426,571,2606,869,1080,133,3760,252,247,2842,1004,74,958,296,111,7676,22053,87,2315,63,8766,5236,361,16760
Richmond upon Thames,17,167,28,438,60,2978,194,1503,115,104,416,3441,69,136,22,2149,7102,1363,1814,3479,1295,88,846,104,19,18671,1776,271,2121,34,2128,14773
Southwark,188,488,440,640,1104,8027,1170,561,268,1723,2020,2336,379,115,116,367,633,4809,3044,317,10253,3399,782,894,210,456,25310,347,7802,391,2997,34059
Sutton,16,105,94,158,589,1589,5850,279,59,163,269,1108,81,46,28,329,622,886,933,3488,1780,314,7117,120,30,812,1608,23989,1216,51,3785,7927
Tower Hamlets,561,445,215,386,360,6315,219,467,367,739,4410,1633,494,114,430,201,322,4891,2211,122,1720,552,197,2973,638,248,4057,118,30488,943,700,29376
Waltham Forest,976,1001,100,723,144,6137,183,564,3422,535,4408,1298,2868,127,740,248,315,4787,1570,75,1262,361,226,4191,3801,145,2320,81,5282,21581,587,16787
Wandsworth,36,431,81,738,348,8626,1480,1241,260,353,1340,7618,259,128,43,759,2550,4150,7481,2097,6759,654,4768,460,71,2674,6000,1115,6632,187,23925,46072
Westminster City of London,33,712,36,1506,108,7593,164,1080,190,144,1012,2885,272,237,58,613,719,3073,4873,131,1627,163,279,320,88,321,2407,63,5897,187,935,49438